TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,TEAM_ID
1610612737,2014,00,Jeff Teague,Jeff,jeff-teague,0,G,6-2,181,"JUN 10, 1988",27.0,5,Wake Forest,201952,,1610612737
1610612737,2014,00,Austin Daye,Austin,austin-daye,3,F,6-11,220,"JUN 05, 1988",27.0,5,Gonzaga,201948,,1610612737
1610612737,2014,00,Paul Millsap,Paul,paul-millsap,4,F,6-8,253,"FEB 10, 1985",30.0,8,Louisiana Tech,200794,,1610612737
1610612737,2014,00,DeMarre Carroll,DeMarre,demarre-carroll,5,F,6-8,212,"JUL 27, 1986",28.0,5,Missouri,201960,,1610612737
1610612737,2014,00,Pero Antic,Pero,pero-antic,6,F-C,6-11,260,"JUL 29, 1982",32.0,1,Olympiacos,203544,,1610612737
1610612737,2014,00,Elton Brand,Elton,elton-brand,7,F-C,6-9,254,"MAR 11, 1979",36.0,15,Duke,1882,,1610612737
1610612737,2014,00,Shelvin Mack,Shelvin,shelvin-mack,8,G,6-3,207,"APR 22, 1990",25.0,3,Butler,202714,,1610612737
1610612737,2014,00,John Jenkins,John,john-jenkins,12,G,6-4,215,"MAR 06, 1991",24.0,2,Vanderbilt,203098,,1610612737
1610612737,2014,00,Al Horford,Al,al-horford,15,C-F,6-10,250,"JUN 03, 1986",29.0,7,Florida,201143,,1610612737
1610612737,2014,00,Dennis Schröder,Dennis,dennis-schröder,17,G,6-1,168,"SEP 15, 1993",21.0,1,Braunschweig,203471,,1610612737
1610612737,2014,00,Kent Bazemore,Kent,kent-bazemore,24,G,6-5,201,"JUL 01, 1989",25.0,2,Old Dominion,203145,,1610612737
1610612737,2014,00,Thabo Sefolosha,Thabo,thabo-sefolosha,25,F-G,6-7,222,"MAY 02, 1984",31.0,8,Angelico Biella,200757,,1610612737
1610612737,2014,00,Kyle Korver,Kyle,kyle-korver,26,G,6-7,212,"MAR 17, 1981",34.0,11,Creighton,2594,,1610612737
1610612737,2014,00,Mike Muscala,Mike,mike-muscala,31,F-C,6-11,230,"JUL 01, 1991",23.0,1,Bucknell,203488,,1610612737
1610612737,2014,00,Mike Scott,Mike,mike-scott,32,F,6-8,237,"JUL 16, 1988",26.0,2,Virginia,203118,,1610612737
1610612738,2014,00,Avery Bradley,Avery,avery-bradley,0,G,6-2,180,"NOV 26, 1990",24.0,4,University of Texas at Austin,202340,,1610612738
1610612738,2014,00,Isaiah Thomas,Isaiah,isaiah-thomas,4,G,5-9,185,"FEB 07, 1989",26.0,3,Washington,202738,,1610612738
1610612738,2014,00,Jared Sullinger,Jared,jared-sullinger,7,F,6-9,260,"MAR 04, 1992",23.0,2,Ohio State,203096,,1610612738
1610612738,2014,00,Jonas Jerebko,Jonas,jonas-jerebko,8,F,6-10,231,"MAR 02, 1987",28.0,4,Angelico Biella,201973,,1610612738
1610612738,2014,00,Evan Turner,Evan,evan-turner,11,G-F,6-7,220,"OCT 27, 1988",26.0,4,Ohio State,202323,,1610612738
1610612738,2014,00,James Young,James,james-young,13,G-F,6-6,215,"AUG 16, 1995",19.0,R,Kentucky,203923,,1610612738
1610612738,2014,00,Phil Pressey,Phil,phil-pressey,26,G,5-11,175,"FEB 17, 1991",24.0,1,Missouri,203515,,1610612738
1610612738,2014,00,Brandon Bass,Brandon,brandon-bass,30,F-C,6-8,250,"APR 30, 1985",30.0,9,Louisiana State,101138,,1610612738
1610612738,2014,00,Marcus Smart,Marcus,marcus-smart,36,G,6-4,220,"MAR 06, 1994",21.0,R,Oklahoma State,203935,,1610612738
1610612738,2014,00,Kelly Olynyk,Kelly,kelly-olynyk,41,C-F,7-0,238,"APR 19, 1991",24.0,1,Gonzaga,203482,,1610612738
1610612738,2014,00,Tyler Zeller,Tyler,tyler-zeller,44,C-F,7-0,253,"JAN 17, 1990",25.0,2,North Carolina,203092,,1610612738
1610612738,2014,00,Gerald Wallace,Gerald,gerald-wallace,45,F,6-7,220,"JUL 23, 1982",32.0,13,Alabama,2222,,1610612738
1610612738,2014,00,Chris Babb,Chris,chris-babb,52,G,6-5,225,"FEB 14, 1990",25.0,1,Iowa State,203569,,1610612738
1610612738,2014,00,Gigi Datome,Gigi,gigi-datome,70,F,6-8,215,"NOV 27, 1987",27.0,1,Virtus Roma,203540,,1610612738
1610612738,2014,00,Jae Crowder,Jae,jae-crowder,99,F,6-6,235,"JUL 06, 1990",24.0,2,Marquette,203109,,1610612738
1610612739,2014,00,Kevin Love,Kevin,kevin-love,0,F,6-10,243,"SEP 07, 1988",26.0,6,UCLA,201567,,1610612739
1610612739,2014,00,James Jones,James,james-jones,1,F,6-8,215,"OCT 04, 1980",34.0,11,Miami,2592,,1610612739
1610612739,2014,00,Kyrie Irving,Kyrie,kyrie-irving,2,G,6-3,193,"MAR 23, 1992",23.0,3,Duke,202681,,1610612739
1610612739,2014,00,Kendrick Perkins,Kendrick,kendrick-perkins,3,C,6-10,270,"NOV 10, 1984",30.0,11,Clifton J. Ozen HS (TX),2570,,1610612739
1610612739,2014,00,Iman Shumpert,Iman,iman-shumpert,4,G,6-5,220,"JUN 26, 1990",25.0,3,Georgia Tech,202697,,1610612739
1610612739,2014,00,JR Smith,JR,jr-smith,5,G-F,6-6,225,"SEP 09, 1985",29.0,10,No College,2747,,1610612739
1610612739,2014,00,Matthew Dellavedova,Matthew,matthew-dellavedova,8,G,6-4,200,"SEP 08, 1990",24.0,1,Saint Mary's,203521,,1610612739
1610612739,2014,00,Joe Harris,Joe,joe-harris,12,G,6-6,225,"SEP 06, 1991",23.0,R,Virginia,203925,,1610612739
1610612739,2014,00,Tristan Thompson,Tristan,tristan-thompson,13,C-F,6-9,238,"MAR 13, 1991",24.0,3,Texas-Austin,202684,Signed on 09/12/23,1610612739
1610612739,2014,00,Anderson Varejao,Anderson,anderson-varejao,17,C,6-11,267,"SEP 28, 1982",32.0,10,FC Barcelona,2760,,1610612739
1610612739,2014,00,Mike Miller,Mike,mike-miller,18,G-F,6-8,218,"FEB 19, 1980",35.0,14,Florida,2034,,1610612739
1610612739,2014,00,Timofey Mozgov,Timofey,timofey-mozgov,20,C,7-1,250,"JUL 16, 1986",28.0,4,Khimki,202389,,1610612739
1610612739,2014,00,LeBron James,LeBron,lebron-james,23,F,6-8,250,"DEC 30, 1984",30.0,11,St. Vincent-St. Mary HS (OH),2544,,1610612739
1610612739,2014,00,Shawn Marion,Shawn,shawn-marion,31,G-F,6-7,228,"MAY 07, 1978",37.0,15,UNLV,1890,,1610612739
1610612739,2014,00,Brendan Haywood,Brendan,brendan-haywood,33,C,7-0,263,"NOV 27, 1979",35.0,12,North Carolina,2217,,1610612739
1610612740,2014,00,Tyreke Evans,Tyreke,tyreke-evans,1,G-F,6-6,220,"SEP 19, 1989",25.0,5,Memphis,201936,,1610612740
